	id	model_type	name	readonly	readwrite	requirement
48	CDPDG141_c	Metabolite	CDP-1,2-ditetradec-7-enoylglycerol	-	x	x
49	CDPDG160_c	Metabolite	CDP-1,2-dihexadecanoylglycerol	-	x	x
50	CDPDG161_c	Metabolite	CDP-1,2-dihexadec-9-enoylglycerol	-	x	x
51	CDPDG180_c	Metabolite	CDP-1,2-dioctadecanoylglycerol	-	x	x
52	CDPDG181_c	Metabolite	CDP-1,2-dioctadec-11-enoylglycerol	-	x	x
53	Ceramide16_c	Metabolite	Ceramide (d18:1/16:0)	-	x	x
54	CH3OH_c	Metabolite	methanol	-	x	x
55	chloroacetaldehyde_c	Metabolite	chloroacetaldehyde	-	x	x
56	chloroethylene_oxide_c	Metabolite	chloroethylene oxide	-	x	x
57	CHOL_c	Metabolite	choline	-	x	x
58	CHP_c	Metabolite	cumene hydroperoxide	-	x	x
59	ciprofloxacin_c	Metabolite	ciprofloxacin	-	x	x
60	CITR_c	Metabolite	L-citrulline	-	x	x
61	CL_c	Metabolite	chloride ion	-	x	x
62	CL160_c	Metabolite	cardiolipin (tetrahexadecanoyl, n-C16:0)	-	x	x
63	CL161_c	Metabolite	cardiolipin (tetrahexadec-9-enoyl, n-C16:1)	-	x	x
64	CL181_c	Metabolite	cardiolipin (tetraoctadec-11-enoyl, n-C18:1)	-	x	x
65	cmnm5s2U_c	Metabolite	5-carboxymethylaminomethyl-2-thiouridine	-	x	x
66	cmnm5s2UMP_c	Metabolite	5-carboxymethylaminomethyl-2-thiouridine monophosphate	-	x	x
67	CMP_c	Metabolite	CMP	-	x	x
68	CO_c	Metabolite	cobalt ion	-	x	x
69	CO2_c	Metabolite	carbon dioxide	-	x	x
70	COA_c	Metabolite	coenzyme A	-	x	x
71	crystalViolet_c	Metabolite	Crystal violet	-	x	x
72	CTP_c	Metabolite	CTP	-	x	x
73	CU_c	Metabolite	cupric ion	-	x	x
74	cyclobutane_dCdC_c	Metabolite	cyclobutane 2'-deoxycytidine dimer	-	x	x
75	cyclobutane_dCdT_c	Metabolite	cyclobutane 2'-deoxycytidine 2'-deoxythymidine 	-	x	x
76	cyclobutane_dCMPdCMP_c	Metabolite	cyclobutane 2'-deoxycytidine monophosphate dimer	-	x	x
77	cyclobutane_dCMPdTMP_c	Metabolite	cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate	-	x	x
78	cyclobutane_dTdC_c	Metabolite	cyclobutane 2'-deoxythymidine 2'-deoxycytidine	-	x	x
79	cyclobutane_dTdT_c	Metabolite	cyclobutane 2'-deoxythymidine dimer	-	x	x
80	cyclobutane_dTMPdCMP_c	Metabolite	cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate	-	x	x
81	cyclobutane_dTMPdTMP_c	Metabolite	cyclobutane 2'-deoxythymidine monophosphate dimer	-	x	x
82	cyclodA_c	Metabolite	8,5'-cyclo-2'-deoxyadenosine	-	x	x
83	cyclodAMP_c	Metabolite	8,5'-cyclo-2'-deoxyadenosine monophosphate	-	x	x
84	cyclodG_c	Metabolite	8,5'-cyclo-2'-deoxyguanosine	-	x	x
85	cyclodGMP_c	Metabolite	8,5'-cyclo-2'-deoxyguanosine monophosphate	-	x	x
86	CYS_c	Metabolite	L-Cysteine	-	x	x
87	CysCys_c	Metabolite	L-cysteinyl-L-cysteine	-	x	x
88	CYTD_c	Metabolite	cytidine	-	x	x
89	c_di_AMP_c	Metabolite	Cyclic-di-adenylate	-	x	x
90	DA_c	Metabolite	deoxyadenosine	-	x	x
91	DADP_c	Metabolite	dADP	-	x	x
92	DAG160_c	Metabolite	Diacylglycerol (n-16:0)	-	x	x
93	DAG161_c	Metabolite	Diacylglycerol (n-16:1)	-	x	x
94	DAG181_c	Metabolite	Diacylglycerol (n-18:1)	-	x	x
95	DALA_c	Metabolite	D-alanine	-	x	x
96	DAMP_c	Metabolite	dAMP	-	x	x
97	dApdAp_c	Metabolite	dAp-dAp	-	x	x
98	DATP_c	Metabolite	dATP	-	x	x
99	DC_c	Metabolite	deoxycytidine	-	x	x
100	dC64dC_c	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxycytidine	-	x	x
101	dC64dC_dewar_c	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxycytidine dewar product	-	x	x
102	dC64dT_c	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxythymidine	-	x	x
103	dC64dT_dewar_c	Metabolite	2'-deoxycytidine-[6,4]-2'-deoxythymidine dewar product	-	x	x
104	DCDP_c	Metabolite	dCDP	-	x	x
105	DCMP_c	Metabolite	dCMP	-	x	x
106	dCMP64dCMP_c	Metabolite	2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate	-	x	x
107	dCMP64dCMP_dewar_c	Metabolite	2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product	-	x	x
108	dCMP64dTMP_c	Metabolite	2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate	-	x	x
109	dCMP64dTMP_dewar_c	Metabolite	2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product	-	x	x
110	dCMP_GLYC_c	Metabolite	2-'deoxycytidine monophosphate glycol	-	x	x
111	dCpdCp_c	Metabolite	dCp-dCp	-	x	x
112	DCTP_c	Metabolite	dCTP	-	x	x
113	dC_GLYC_c	Metabolite	2-'deoxycytidine glycol	-	x	x
114	DDCA_c	Metabolite	Dodecanoate (n-C12:0)	-	x	x
115	DDECG3P_c	Metabolite	1-dodecanoyl-sn-glycerol 3-phosphate	-	x	x
116	deoxyG6P_c	Metabolite	2-deoxy-glucose-6-phosphate	-	x	x
117	deoxyGLC_c	Metabolite	2-deoxy-glucose	-	x	x
118	DG_c	Metabolite	deoxyguanosine	-	x	x
119	DGDP_c	Metabolite	dGDP	-	x	x
120	DGMP_c	Metabolite	dGMP	-	x	x
121	dGpdGp_c	Metabolite	dGp-dGp	-	x	x
122	DGTP_c	Metabolite	dGTP	-	x	x
123	DHA_c	Metabolite	Dihydroxyacetone	-	x	x
124	DHdT_c	Metabolite	5,6-dihydro-2'-deoxythymidine	-	x	x
125	DHdTMP_c	Metabolite	5,6-dihydro-2'-deoxythymidine monophosphate	-	x	x
126	DHdU_c	Metabolite	5,6-dihydroxy-2'-deoxyuridine	-	x	x
127	DHdUMP_c	Metabolite	5,6-dihydroxy-2'-deoxyuridine monophosphate	-	x	x
128	DHF_c	Metabolite	dihydrofolate	-	x	x
129	dhpdU_c	Metabolite	5'-dihydroxypentyl-2'-deoxyuridine	-	x	x
130	dhpdUMP_c	Metabolite	5'-dihydroxypentyl-2'-deoxyuridine monophosphate	-	x	x
131	diacylglycerolCys_c	Metabolite	S-diacylglycerol cysteine 	-	x	x
132	DIBUTYRIN_c	Metabolite	dibutyrin	-	x	x
133	dINS_c	Metabolite	2'-deoxyinosine	-	x	x
134	dINSMP_c	Metabolite	2'-deoxyinosine monophosphate	-	x	x
135	DMBA_c	Metabolite	dimethylbenzyl alcohol	-	x	x
136	doxorubicin_c	Metabolite	Doxorubicin	-	x	x
137	DPCOA_c	Metabolite	dephospho-CoA	-	x	x
138	DPG_c	Metabolite	3-Phospho-D-glyceroyl phosphate	-	x	x
139	DR1P_c	Metabolite	2-Deoxy-D-ribose 1-phosphate	-	x	x
140	DR5P_c	Metabolite	2-Deoxy-D-ribose 5-phosphate	-	x	x
141	DT_c	Metabolite	thymidine	-	x	x
142	dT64dC_c	Metabolite	2'-deoxythymidine-[6,4]-2'-deoxycytidine	-	x	x
143	dT64dC_dewar_c	Metabolite	2'-deoxythymidine-[6,4]-2'-deoxycytidine dewar product	-	x	x
144	dT64dT_c	Metabolite	2'-deoxythymidine-[6,4]-2'-deoxythymidine	-	x	x
145	dT64dT_dewar_c	Metabolite	2'-deoxythymidine-[6,4]-2'-deoxythymidine dewar product	-	x	x
146	DTDP_c	Metabolite	dTDP	-	x	x
147	DTMP_c	Metabolite	dTMP	-	x	x
148	dTMP64dCMP_c	Metabolite	2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate	-	x	x
149	dTMP64dCMP_dewar_c	Metabolite	2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product	-	x	x
150	dTMP64dTMP_c	Metabolite	2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate	-	x	x
151	dTMP64dTMP_dewar_c	Metabolite	2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product	-	x	x
152	dTMP_GLYC_c	Metabolite	2'-deoxythymidine monophosphate glycol	-	x	x
153	dTpdTp_c	Metabolite	dTp-dTp	-	x	x
154	DTTP_c	Metabolite	dTTP	-	x	x
155	dT_GLYC_c	Metabolite	2'-deoxythymidine glycol	-	x	x
156	DU_c	Metabolite	deoxyuridine	-	x	x
157	DUDP_c	Metabolite	dUDP	-	x	x
158	DUMP_c	Metabolite	dUMP	-	x	x
159	DUTP_c	Metabolite	dUTP	-	x	x
160	dXAN_c	Metabolite	2'-deoxyxanthosine	-	x	x
161	dXANMP_c	Metabolite	2'-deoxyxanthosine monophosphate	-	x	x
162	e1dA_c	Metabolite	1-ethyl-2'-deoxyadenosine	-	x	x
163	e1dAMP_c	Metabolite	1-ethyl-2'-deoxyadenosine monophosphate	-	x	x
164	e1dG_c	Metabolite	1-ethyl-2'-deoxyguanosine	-	x	x
165	e1dGMP_c	Metabolite	1-ethyl-2'-deoxyguanosine monophosphate	-	x	x
166	e3dA_c	Metabolite	3-ethyl-2'-deoxyadenosine	-	x	x
167	e3dAMP_c	Metabolite	3-ethyl-2'-deoxyadenosine monophosphate	-	x	x
168	e3dC_c	Metabolite	3-ethyl-2'-deoxycytidine	-	x	x
169	e3dCMP_c	Metabolite	3-ethyl-2'-deoxycytidine monophosphate	-	x	x
170	e3dG_c	Metabolite	3-ethyl-2'-deoxyguanosine	-	x	x
171	e3dGMP_c	Metabolite	3-ethyl-2'-deoxyguanosine monophosphate	-	x	x
172	e3dT_c	Metabolite	3'-ethyl-2'-deoxythymidine	-	x	x
173	e3dTMP_c	Metabolite	3'-ethyl-2'-deoxythymidine monophosphate	-	x	x
174	e4dC_c	Metabolite	4-ethyl-2'-deoxycytidine	-	x	x
175	e4dCMP_c	Metabolite	4-ethyl-2'-deoxycytidine monophosphate	-	x	x
176	E4P_c	Metabolite	D-Erythrose 4-phosphate	-	x	x
177	e5dC_c	Metabolite	5-ethyl-2'-deoxycytidine	-	x	x
178	e5dCMP_c	Metabolite	5-ethyl-2'-deoxycytidine monophosphate	-	x	x
179	e6dA_c	Metabolite	6-ethyl-2'-deoxyadenosine	-	x	x
180	e6dAMP_c	Metabolite	6-ethyl-2'-deoxyadenosine monophosphate	-	x	x
181	e7dA_c	Metabolite	7-ethyl-2'-deoxyadenosine	-	x	x
182	e7dAMP_c	Metabolite	7-ethyl-2'-deoxyadenosine monophosphate	-	x	x
183	e7dG_c	Metabolite	7-ethyl-2'-deoxyguanosine	-	x	x
184	e7dGMP_c	Metabolite	7-ethyl-2'-deoxyguanosine monophosphate	-	x	x
185	e8dG_c	Metabolite	8-ethyl-2'-deoxyguanosine	-	x	x
186	e8dGMP_c	Metabolite	8-ethyl-2'-deoxyguanosine monophosphate	-	x	x
187	enoxacin_c	Metabolite	Enoxacin	-	x	x
188	epsilon1N2dG_c	Metabolite	1,N2-etheno-2'-deoxyguanosine	-	x	x
189	epsilon1N2dGMP_c	Metabolite	1,N2-etheno-2'-deoxyguanosine monophosphate	-	x	x
190	epsilon1N6dA_c	Metabolite	1,N6-etheno-2'-deoxyadenosine	-	x	x
191	epsilon1N6dAMP_c	Metabolite	1,N6-etheno-2'-deoxyadenosine monophosphate	-	x	x
192	epsilon3N4dC_c	Metabolite	3,N4-etheno-2'-deoxycytidine	-	x	x
193	epsilon3N4dCMP_c	Metabolite	3,N4-etheno-2'-deoxycytidine monophosphate	-	x	x
194	epsilonN23dG_c	Metabolite	N2,3-etheno-2'-deoxyguanosine	-	x	x
195	epsilonN23dGMP_c	Metabolite	N2,3-etheno-2'-deoxyguanosine monophosphate	-	x	x
196	ethidium_c	Metabolite	Ethidium	-	x	x
197	ETN_c	Metabolite	ethanolamine	-	x	x
198	F1P_c	Metabolite	D-Fructose 1-phosphate	-	x	x
199	f5dU_c	Metabolite	5-formyl-2'-deoxyuridine	-	x	x
200	f5dUMP_c	Metabolite	5-formyl-2'-deoxyuridine monophosphate	-	x	x
201	F6P_c	Metabolite	D-Fructose 6-phosphate	-	x	x
202	FAD_c	Metabolite	flavin adenine dinucleotide, oxidized	-	x	x
203	FADH2_c	Metabolite	flavin adenine dinucleotide, reduced	-	x	x
204	FALD_c	Metabolite	formaldehyde	-	x	x
205	FAPydA_c	Metabolite	N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine	-	x	x
206	FAPydAMP_c	Metabolite	N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate	-	x	x
207	FAPydG_c	Metabolite	N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine	-	x	x
208	FAPydGMP_c	Metabolite	N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate	-	x	x
209	FDP_c	Metabolite	D-Fructose 1,6-bisphosphate	-	x	x
210	FE2_c	Metabolite	ferrous iron	-	x	x
211	FE3_c	Metabolite	ferric iron	-	x	x
212	FMET_c	Metabolite	N-Formyl-L-methionine	-	x	x
213	FMN_c	Metabolite	flavin mononucleotide, oxidized	-	x	x
214	FMNH2_c	Metabolite	flavin mononucleotide, reduced	-	x	x
215	FOR_c	Metabolite	Formate	-	x	x
216	FRU_c	Metabolite	D-Fructose	-	x	x
217	FTHF10_c	Metabolite	10-formyl-tetrahydrofolate	-	x	x
218	FTHF5_c	Metabolite	5-formyltetrahydrofolate	-	x	x
219	FUC1P_c	Metabolite	L-fucose 1-phosphate	-	x	x
220	G1P_c	Metabolite	D-Glucose 1-phosphate	-	x	x
221	G23CMP_c	Metabolite	2',3'-Cyclic GMP	-	x	x
222	G2P_c	Metabolite	D-Glycerate 2-phosphate	-	x	x
223	G3MP_c	Metabolite	3'-GMP	-	x	x
224	G3P_c	Metabolite	3-Phospho-D-glycerate	-	x	x
225	G6P_c	Metabolite	D-Glucose 6-phosphate	-	x	x
226	GalCer16_c	Metabolite	galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
227	GalDAG160_c	Metabolite	galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
228	GalDAG161_c	Metabolite	galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
229	GalDAG181_c	Metabolite	galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
230	GalGalCer16_c	Metabolite	galactosyl-α1-4-galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
231	GalGalDAG160_c	Metabolite	galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
232	GalGalDAG161_c	Metabolite	galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
233	GalGalDAG181_c	Metabolite	galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
234	GalGalGalDAG160_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
235	GalGalGalDAG161_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
236	GalGalGalDAG181_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
237	GalGalGlcCer16_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
238	GalGalGlcDAG160_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
239	GalGalGlcDAG161_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
240	GalGalGlcDAG181_c	Metabolite	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
241	GalGlcCer16_c	Metabolite	galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
242	GalGlcDAG160_c	Metabolite	galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
243	GalGlcDAG161_c	Metabolite	galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
244	GalGlcDAG181_c	Metabolite	galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
245	GDP_c	Metabolite	GDP	-	x	x
246	GDPTP_c	Metabolite	Guanosine 3'-diphosphate 5'-triphosphate	-	x	x
247	GL_c	Metabolite	glycerol	-	x	x
248	GL2P_c	Metabolite	Glycerol 2-phosphate	-	x	x
249	GL3P_c	Metabolite	Glycerol 3-phosphate	-	x	x
250	GLC_c	Metabolite	D-Glucose	-	x	x
251	GlcCer16_c	Metabolite	glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
252	GlcDAG160_c	Metabolite	glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
253	GlcDAG161_c	Metabolite	glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
254	GlcDAG181_c	Metabolite	glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
255	GlcGalCer16_c	Metabolite	glucosyl-β1-4-galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
256	GlcGalDAG160_c	Metabolite	glucosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
257	GlcGalDAG161_c	Metabolite	glucosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
258	GlcGalDAG181_c	Metabolite	glucosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
259	GlcGalGalDAG160_c	Metabolite	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
260	GlcGalGalDAG161_c	Metabolite	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
261	GlcGalGalDAG181_c	Metabolite	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
262	GlcGalGlcDAG160_c	Metabolite	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
263	GlcGalGlcDAG161_c	Metabolite	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
264	GlcGalGlcDAG181_c	Metabolite	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
265	GlcGlcDAG160_c	Metabolite	glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
266	GlcGlcDAG161_c	Metabolite	glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
267	GlcGlcDAG181_c	Metabolite	glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
268	GlcGlcGlcDAG160_c	Metabolite	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
269	GlcGlcGlcDAG161_c	Metabolite	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
270	GlcGlcGlcDAG181_c	Metabolite	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
271	glchm5dC_c	Metabolite	beta-D-glucosylhydroxymethyl-2'-deoxycytidine	-	x	x
272	glchm5dCMP_c	Metabolite	beta-D-glucosylhydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
273	glchm5dU_c	Metabolite	beta-D-glucosylhydroxymethyl-2'-deoxyuridine	-	x	x
274	glchm5dUMP_c	Metabolite	beta-D-glucosylhydroxymethyl-2'-deoxyuridine monophosphate	-	x	x
275	GLN_c	Metabolite	L-glutamine	-	x	x
276	GlnGln_c	Metabolite	L-glutaminyl-L-glutamine	-	x	x
277	GLU_c	Metabolite	L-Glutamate	-	x	x
278	gludT_c	Metabolite	a-glutamyl-2'-deoxythymidine	-	x	x
279	gludTMP_c	Metabolite	a-glutamyl-2'-deoxythymidine monophosphate	-	x	x
280	GluGlu_c	Metabolite	L-glutamyl-L-glutamic acid	-	x	x
281	GLY_c	Metabolite	glycine	-	x	x
282	GlyGly_c	Metabolite	L-glycyl-L-glycine	-	x	x
283	Gm_c	Metabolite	2'-O-methylguanosine	-	x	x
284	GmMP_c	Metabolite	2'-O-methylguanosine monophosphate	-	x	x
285	GMP_c	Metabolite	GMP	-	x	x
286	GMP_Lysine_c	Metabolite	GMP-lysine	-	x	x
287	GMP_Mor_c	Metabolite	GMP-morpholidate	-	x	x
288	GN_c	Metabolite	guanine	-	x	x
289	GPCH_c	Metabolite	sn-Glycero-3-phosphocholine	-	x	x
290	GPE_c	Metabolite	sn-Glycero-3-phosphoethanolamine	-	x	x
291	GPG_c	Metabolite	Glycerophosphoglycerol	-	x	x
292	GPI_c	Metabolite	sn-Glycero-3-phospho-1-inositol	-	x	x
293	GPS_c	Metabolite	Glycerophosphoserine	-	x	x
294	GSN_c	Metabolite	guanosine	-	x	x
295	GTP_c	Metabolite	GTP	-	x	x
296	H_c	Metabolite	hydrogen ion	-	x	x
297	H2O_c	Metabolite	water	-	x	x
298	H2O2_c	Metabolite	hydrogen peroxide	-	x	x
299	HCYS_c	Metabolite	L-homocysteine	-	x	x
300	HDCA_c	Metabolite	Hexadecanoate (n-C16:0)	-	x	x
301	HDCEA_c	Metabolite	Hexadecenoate (n-C16:1)	-	x	x
302	HDECEG3P_c	Metabolite	1-hexadecanoyl-sn-glycerol 3-phosphate	-	x	x
303	HDECG3P_c	Metabolite	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	-	x	x
304	HIS_c	Metabolite	L-Histidine	-	x	x
305	HisHis_c	Metabolite	L-histidyl-L-histidine	-	x	x
306	hm3dC_c	Metabolite	3'-hydroxymethyl-2'-deoxycytidine	-	x	x
307	hm3dCMP_c	Metabolite	3'-hydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
308	hm5dC_c	Metabolite	5'-hydroxymethyl-2'-deoxycytidine	-	x	x
309	hm5dCMP_c	Metabolite	5'-hydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
310	hm5dU_c	Metabolite	5-hydroxymethyl-2'-deoxyuridine	-	x	x
311	hm5dUMP_c	Metabolite	5-hydroxymethyl-2'-deoxyuridine monophosphate	-	x	x
312	hm5hydantoin_dRibose_c	Metabolite	2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose	-	x	x
313	hm5hydantoin_dRiboseMP_c	Metabolite	2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose monophosphate	-	x	x
314	ho5dC_c	Metabolite	5-Hydroxy-2'-deoxycytidine	-	x	x
315	ho5dCMP_c	Metabolite	5-Hydroxy-2'-deoxycytidine monophosphate	-	x	x
316	ho5dU_c	Metabolite	5-hydroxy-2'-deoxyuridine	-	x	x
317	ho5dUMP_c	Metabolite	5-hydroxy-2'-deoxyuridine monophosphate	-	x	x
318	ho5ho6dT_c	Metabolite	5-hydroxy-6-hydroxy-2'-deoxythymidine	-	x	x
319	ho5ho6dTMP_c	Metabolite	5-hydroxy-6-hydroxy-2'-deoxythymidine monophosphate	-	x	x
320	ho5ho6dU_c	Metabolite	5-hydroxy-6-hydroxy-2'-deoxyuridine	-	x	x
